,slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,year,min_year,exp,player,allstar,salary
1160,harride01,Devin Harris,POINT_GUARD,29,INDIANA_PACERS,58,1421,14.6,0.565,0.519,0.348,0.5,8.7,4.7,21.7,2.3,0.7,14.7,19.5,1.8,1.5,3.3,0.111,0.9,-0.9,-0.1,0.7,2013,2009,4,0,0,8500000.0
1161,harride01,Devin Harris,POWER_FORWARD,30,MEMPHIS_GRIZZLIES,40,818,14.6,0.517,0.398,0.453,1.1,10.8,6.0,31.0,1.8,0.2,16.2,20.2,1.2,0.4,1.6,0.094,0.5,-2.1,-1.6,0.1,2014,2009,5,0,0,1272279.0
1162,harride01,Devin Harris,POWER_FORWARD,31,MINNESOTA_TIMBERWOLVES,76,1685,14.8,0.559,0.508,0.309,0.8,8.0,4.4,20.4,2.3,0.7,12.5,18.0,2.9,1.3,4.2,0.12,1.9,-0.8,1.2,1.3,2015,2009,6,0,0,3878000.0
1163,harride01,Devin Harris,SHOOTING_GUARD,32,OKLAHOMA_CITY_THUNDER,64,1280,13.1,0.559,0.422,0.374,1.5,10.3,5.9,14.5,2.4,0.8,13.2,17.9,1.2,1.3,2.5,0.095,-0.1,0.4,0.3,0.7,2016,2009,7,0,0,4053000.0
1164,harride01,Devin Harris,SHOOTING_GUARD,33,PORTLAND_TRAIL_BLAZERS,65,1087,13.8,0.549,0.519,0.378,1.1,13.0,6.8,20.0,2.1,0.6,12.5,19.7,1.1,1.1,2.2,0.096,-0.1,-0.3,-0.4,0.4,2017,2009,8,0,0,4228000.0
1165,harride01,Devin Harris,SMALL_FORWARD,34,TORONTO_RAPTORS,44,807,13.5,0.56,0.44,0.394,1.2,10.8,5.8,16.4,2.1,0.9,12.8,21.5,0.7,0.7,1.4,0.085,-0.5,-0.9,-1.4,0.1,2018,2009,9,0,0,4402546.0
1166,harride01,Devin Harris,SMALL_FORWARD,34,TORONTO_RAPTORS,27,533,12.4,0.568,0.6,0.341,0.6,8.2,4.4,17.7,1.3,0.6,12.1,18.2,0.9,0.2,1.1,0.096,0.5,-3.3,-2.8,-0.1,2018,2009,9,0,0,4402546.0
1167,harrimi01,Mike Harris,CENTER,26,BOSTON_CELTICS,8,82,6.4,0.404,0.037,0.333,12.1,16.0,14.0,5.6,2.5,0.9,22.5,21.6,-0.2,0.1,-0.1,-0.073,-7.4,-0.2,-7.6,-0.1,2010,2009,1,0,0,64978.0
1168,harrimi01,Mike Harris,CENTER,26,BOSTON_CELTICS,5,14,11.9,0.515,0.0,0.667,8.1,25.0,16.4,0.0,3.7,0.0,0.0,12.6,0.0,0.0,0.1,0.179,-4.0,-2.7,-6.7,0.0,2010,2009,1,0,0,64978.0
1171,hartja01,Jason Hart,CENTER,31,BOSTON_CELTICS,1,5,9.3,0.0,0.0,0.0,0.0,0.0,0.0,25.5,10.0,0.0,0.0,8.7,0.0,0.0,0.0,-0.028,-8.4,0.7,-7.7,0.0,2010,2009,1,0,0,451866.0
1172,hartja01,Jason Hart,CENTER,31,BOSTON_CELTICS,1,5,9.3,0.0,0.0,0.0,0.0,0.0,0.0,25.5,10.0,0.0,0.0,8.7,0.0,0.0,0.0,-0.028,-8.4,0.7,-7.7,0.0,2010,2009,1,0,0,69518.0
1173,hartja01,Jason Hart,CENTER,31,BOSTON_CELTICS,4,17,8.5,1.0,0.0,0.0,0.0,14.1,6.9,39.6,3.0,4.5,75.0,10.8,0.0,0.0,0.0,0.004,-7.3,0.3,-7.0,0.0,2010,2009,1,0,0,451866.0
1174,hartja01,Jason Hart,CENTER,31,BOSTON_CELTICS,4,17,8.5,1.0,0.0,0.0,0.0,14.1,6.9,39.6,3.0,4.5,75.0,10.8,0.0,0.0,0.0,0.004,-7.3,0.3,-7.0,0.0,2010,2009,1,0,0,69518.0
1175,hasleud01,Udonis Haslem,CENTER,29,BOSTON_CELTICS,78,2177,14.6,0.538,0.0,0.305,9.1,24.8,17.0,3.9,0.7,0.9,9.5,17.1,2.8,3.2,6.0,0.132,-2.3,-0.3,-2.6,-0.3,2010,2009,1,0,0,7100000.0
1176,hasleud01,Udonis Haslem,CENTER,30,CHICAGO_BULLS,13,345,12.7,0.549,0.0,0.233,10.6,25.0,18.2,2.7,1.1,0.7,12.9,14.8,0.4,0.6,0.9,0.13,-2.7,-0.6,-3.3,-0.1,2011,2009,2,0,0,3500000.0
1177,hasleud01,Udonis Haslem,POINT_GUARD,31,DETROIT_PISTONS,64,1589,10.9,0.479,0.0,0.286,9.1,25.6,17.7,4.0,1.2,1.2,13.0,13.5,0.7,2.8,3.5,0.106,-3.5,0.7,-2.8,-0.3,2012,2009,3,0,0,3780000.0
1178,hasleud01,Udonis Haslem,POINT_GUARD,32,INDIANA_PACERS,75,1414,9.9,0.535,0.0,0.179,9.0,25.3,17.6,3.8,1.1,0.9,14.2,10.7,1.2,2.0,3.2,0.108,-2.9,0.0,-2.9,-0.3,2013,2009,4,0,0,4060000.0
1179,hasleud01,Udonis Haslem,POWER_FORWARD,33,MEMPHIS_GRIZZLIES,46,653,10.5,0.523,0.0,0.301,8.4,24.7,16.8,2.9,0.9,2.0,12.7,13.9,0.3,0.8,1.1,0.083,-4.1,-0.7,-4.9,-0.5,2014,2009,5,0,0,4340000.0
1180,hasleud01,Udonis Haslem,POWER_FORWARD,34,NEW_JERSEY_NETS,62,995,10.6,0.488,0.042,0.268,8.8,22.1,15.6,7.4,1.1,1.1,13.3,14.6,0.4,1.0,1.4,0.066,-3.3,-0.1,-3.4,-0.4,2015,2009,6,0,0,2732000.0
1181,hasleud01,Udonis Haslem,SHOOTING_GUARD,35,OKLAHOMA_CITY_THUNDER,37,260,9.1,0.434,0.148,0.262,4.5,27.4,16.3,7.6,1.0,0.6,6.8,12.8,0.0,0.4,0.4,0.072,-4.6,0.1,-4.5,-0.2,2016,2009,7,0,0,2854940.0
1182,hasleud01,Udonis Haslem,SHOOTING_GUARD,36,PORTLAND_TRAIL_BLAZERS,16,130,8.8,0.524,0.13,0.652,6.7,24.1,15.3,6.4,2.3,0.6,21.3,12.8,0.0,0.2,0.2,0.074,-4.7,1.5,-3.2,0.0,2017,2009,8,0,0,4000000.0
1183,hasleud01,Udonis Haslem,SMALL_FORWARD,37,TORONTO_RAPTORS,14,72,1.8,0.252,0.533,0.133,4.7,10.9,7.8,9.2,0.0,2.4,11.2,11.1,-0.1,0.1,-0.1,-0.059,-7.1,-0.4,-7.5,-0.1,2018,2009,9,0,0,1471382.0
1184,hassetr01,Trenton Hassell,CENTER,30,BOSTON_CELTICS,52,1106,6.5,0.465,0.023,0.315,5.6,10.5,7.9,7.2,0.8,0.6,15.9,12.3,-0.4,0.3,-0.1,-0.003,-4.5,-0.7,-5.2,-0.9,2010,2009,1,0,0,4350000.0
1185,hawessp01,Spencer Hawes,CENTER,21,BOSTON_CELTICS,72,1904,13.8,0.507,0.131,0.159,8.6,17.7,13.1,13.2,0.9,3.2,15.5,19.6,0.5,1.6,2.1,0.054,-1.4,1.1,-0.3,0.8,2010,2009,1,0,0,2332800.0
1186,hawessp01,Spencer Hawes,CENTER,22,CHICAGO_BULLS,81,1718,12.8,0.481,0.065,0.155,8.7,22.5,15.6,11.2,0.9,3.1,13.8,18.9,-0.3,2.6,2.4,0.066,-3.1,1.8,-1.3,0.3,2011,2009,2,0,0,2974320.0
1187,hawessp01,Spencer Hawes,POINT_GUARD,23,DETROIT_PISTONS,37,920,18.1,0.517,0.038,0.172,9.4,23.3,16.3,17.6,0.9,3.9,13.8,20.3,1.1,1.9,2.9,0.152,-0.6,3.3,2.7,1.1,2012,2009,3,0,0,4051024.0
1188,hawessp01,Spencer Hawes,POINT_GUARD,24,INDIANA_PACERS,82,2233,16.0,0.514,0.107,0.194,8.5,21.7,14.9,13.5,0.6,3.9,13.0,20.9,1.7,2.8,4.5,0.096,-1.5,1.5,-0.1,1.1,2013,2009,4,0,0,8500000.0
1189,hawessp01,Spencer Hawes,POWER_FORWARD,25,MEMPHIS_GRIZZLIES,53,1666,15.3,0.546,0.346,0.172,5.5,24.6,14.7,16.9,0.9,3.2,15.9,19.0,1.2,1.4,2.6,0.075,-0.8,0.8,0.0,0.8,2014,2009,5,0,0,6500000.0
1190,hawessp01,Spencer Hawes,POWER_FORWARD,25,MEMPHIS_GRIZZLIES,27,804,16.6,0.571,0.354,0.172,5.9,23.6,14.5,13.5,0.8,2.8,14.5,20.7,1.0,0.9,1.9,0.114,0.6,1.0,1.6,0.7,2014,2009,5,0,0,6500000.0
1191,hawessp01,Spencer Hawes,POWER_FORWARD,26,NEW_JERSEY_NETS,73,1274,9.8,0.478,0.424,0.164,2.7,19.7,11.4,10.0,1.0,3.4,12.1,17.9,-0.3,1.5,1.2,0.044,-2.9,1.0,-1.9,0.0,2015,2009,6,0,0,5305000.0
1192,hawessp01,Spencer Hawes,SHOOTING_GUARD,27,OKLAHOMA_CITY_THUNDER,57,1035,12.4,0.508,0.333,0.212,5.3,20.6,12.9,16.3,1.1,2.1,14.8,17.1,0.6,1.4,1.9,0.09,-1.9,1.3,-0.6,0.4,2016,2009,7,0,0,5543725.0
1193,hawessp01,Spencer Hawes,SHOOTING_GUARD,28,PORTLAND_TRAIL_BLAZERS,35,626,14.8,0.545,0.252,0.156,5.6,20.1,12.8,16.1,1.0,3.6,14.7,19.6,0.3,0.8,1.1,0.086,-1.8,1.2,-0.6,0.2,2017,2009,8,0,0,6348759.0
1194,hawessp01,Spencer Hawes,SHOOTING_GUARD,28,PORTLAND_TRAIL_BLAZERS,19,171,18.6,0.62,0.441,0.305,4.1,26.3,15.3,17.7,0.6,2.1,11.9,20.3,0.4,0.2,0.6,0.16,1.0,-1.0,0.0,0.1,2017,2009,8,0,0,6348759.0
1195,hayesch01,Chuck Hayes,CENTER,26,BOSTON_CELTICS,82,1773,11.7,0.5,0.0,0.201,9.4,21.1,15.0,11.4,2.1,1.8,17.1,10.8,1.2,2.4,3.6,0.098,-2.1,3.3,1.2,1.4,2010,2009,1,0,0,2111750.0
1196,hayesch01,Chuck Hayes,CENTER,27,CHICAGO_BULLS,74,2079,16.2,0.554,0.004,0.307,11.9,20.7,16.3,14.3,1.9,1.6,14.1,13.0,3.9,2.4,6.3,0.146,1.0,2.8,3.8,3.0,2011,2009,2,0,0,1972500.0
1197,hayesch01,Chuck Hayes,POINT_GUARD,28,DETROIT_PISTONS,54,1039,8.9,0.459,0.012,0.229,7.3,18.0,12.4,10.4,1.8,1.2,21.1,9.9,0.1,0.5,0.6,0.028,-3.1,1.3,-1.8,0.1,2012,2009,3,0,0,5250000.0
1198,hayesch01,Chuck Hayes,POINT_GUARD,29,INDIANA_PACERS,74,1209,10.7,0.469,0.005,0.253,10.5,18.2,14.2,13.1,1.3,1.2,17.2,9.4,1.1,0.4,1.5,0.06,-1.5,0.8,-0.7,0.4,2013,2009,4,0,0,5486250.0
1199,hayesch01,Chuck Hayes,POWER_FORWARD,30,MEMPHIS_GRIZZLIES,16,179,11.4,0.47,0.0,0.219,12.5,17.2,14.8,4.9,3.1,0.9,16.6,10.4,0.1,0.2,0.3,0.081,-2.2,1.8,-0.4,0.1,2014,2009,5,0,0,5722500.0
1200,hayesch01,Chuck Hayes,POWER_FORWARD,30,MEMPHIS_GRIZZLIES,45,575,9.6,0.467,0.01,0.184,9.9,23.2,16.5,7.5,2.1,1.4,19.7,10.4,0.1,0.9,1.1,0.088,-3.4,2.7,-0.7,0.2,2014,2009,5,0,0,5722500.0
1201,hayesch01,Chuck Hayes,POWER_FORWARD,31,NEW_JERSEY_NETS,29,255,10.4,0.492,0.0,0.239,8.1,14.9,11.5,11.3,2.0,1.3,13.6,10.4,0.3,0.2,0.5,0.091,-1.5,1.1,-0.4,0.1,2015,2009,6,0,0,5958750.0
1202,hayesch01,Chuck Hayes,SHOOTING_GUARD,32,OKLAHOMA_CITY_THUNDER,2,24,1.6,0.694,0.0,1.0,0.0,37.0,18.4,11.3,0.0,0.0,51.0,10.5,0.0,0.0,0.0,-0.016,-8.9,-0.6,-9.4,0.0,2016,2009,7,0,0,83583.0
1203,hayesja01,Jarvis Hayes,CENTER,28,BOSTON_CELTICS,45,1033,9.7,0.521,0.546,0.055,1.0,11.5,6.0,6.7,1.5,0.6,7.7,16.2,0.3,0.5,0.8,0.038,-1.1,-1.8,-2.9,-0.2,2010,2009,1,0,0,2062800.0
1204,haywobr01,Brendan Haywood,CENTER,30,BOSTON_CELTICS,49,1614,16.2,0.591,0.0,0.472,14.1,22.2,18.1,1.7,0.6,4.8,14.2,13.2,2.6,1.9,4.5,0.133,-1.0,1.2,0.2,0.9,2010,2009,1,0,0,6000000.0
1205,haywobr01,Brendan Haywood,CENTER,30,BOSTON_CELTICS,28,741,16.1,0.582,0.006,0.558,12.2,19.9,16.1,5.0,0.6,5.8,14.1,14.0,1.1,1.1,2.2,0.144,-1.1,3.0,1.9,0.7,2010,2009,1,0,0,6000000.0
1206,haywobr01,Brendan Haywood,CENTER,31,CHICAGO_BULLS,72,1331,11.7,0.532,0.004,0.794,11.8,20.9,16.5,2.1,0.6,4.2,14.5,12.4,0.8,2.1,2.9,0.104,-3.2,2.1,-1.0,0.3,2011,2009,2,0,0,6900000.0
1207,haywobr01,Brendan Haywood,POINT_GUARD,32,DETROIT_PISTONS,54,1146,12.9,0.52,0.0,0.421,13.7,18.0,15.9,2.6,1.1,3.8,14.5,12.8,1.1,1.6,2.7,0.114,-2.4,1.9,-0.5,0.4,2012,2009,3,0,0,7624500.0
1208,haywobr01,Brendan Haywood,POINT_GUARD,33,INDIANA_PACERS,61,1162,8.7,0.441,0.005,0.306,12.0,16.7,14.3,3.9,0.7,3.4,16.9,11.5,-0.2,0.4,0.1,0.006,-4.3,-0.3,-4.6,-0.8,2013,2009,4,0,0,6299000.0
1209,haywobr01,Brendan Haywood,POINT_GUARD,33,INDIANA_PACERS,61,1162,8.7,0.441,0.005,0.306,12.0,16.7,14.3,3.9,0.7,3.4,16.9,11.5,-0.2,0.4,0.1,0.006,-4.3,-0.3,-4.6,-0.8,2013,2009,4,0,0,2050000.0
1210,haywobr01,Brendan Haywood,POWER_FORWARD,35,NEW_JERSEY_NETS,22,119,9.1,0.49,0.0,0.433,5.9,21.9,14.0,2.5,0.9,6.6,21.9,17.3,-0.2,0.2,0.0,0.008,-7.9,1.3,-6.6,-0.1,2015,2009,6,0,0,7798000.0
1211,haywobr01,Brendan Haywood,POWER_FORWARD,35,NEW_JERSEY_NETS,22,119,9.1,0.49,0.0,0.433,5.9,21.9,14.0,2.5,0.9,6.6,21.9,17.3,-0.2,0.2,0.0,0.008,-7.9,1.3,-6.6,-0.1,2015,2009,6,0,0,2213688.0
1212,headlu01,Luther Head,CENTER,27,BOSTON_CELTICS,47,813,11.5,0.53,0.338,0.186,0.8,10.0,5.4,14.8,1.1,0.8,13.8,21.2,-0.1,0.6,0.6,0.034,-2.2,-1.9,-4.1,-0.4,2010,2009,1,0,0,884881.0
1213,headlu01,Luther Head,CENTER,28,CHICAGO_BULLS,36,586,11.7,0.538,0.39,0.305,3.0,8.8,5.8,17.7,0.9,1.1,14.7,16.1,0.6,0.2,0.9,0.073,-0.7,-1.7,-2.5,-0.1,2011,2009,2,0,0,992680.0
1214,hendege02,Gerald Henderson,CENTER,22,BOSTON_CELTICS,43,355,9.7,0.453,0.183,0.452,5.2,13.3,9.3,6.0,1.5,2.1,10.1,18.2,-0.1,0.5,0.4,0.056,-4.7,-0.1,-4.7,-0.2,2010,2009,1,0,0,1957080.0
1215,hendege02,Gerald Henderson,CENTER,23,CHICAGO_BULLS,68,1661,13.2,0.509,0.063,0.286,3.5,11.6,7.5,10.7,1.6,1.6,9.1,19.9,0.9,1.4,2.4,0.068,-1.9,-0.3,-2.3,-0.1,2011,2009,2,0,0,2103840.0
1216,hendege02,Gerald Henderson,POINT_GUARD,24,DETROIT_PISTONS,55,1831,14.0,0.511,0.065,0.282,3.9,10.5,7.0,13.5,1.4,0.8,11.0,23.0,0.8,0.2,1.0,0.026,-0.7,-1.9,-2.6,-0.3,2012,2009,3,0,0,2250600.0
1217,hendege02,Gerald Henderson,POINT_GUARD,25,INDIANA_PACERS,68,2133,16.4,0.531,0.117,0.366,2.9,10.8,6.7,15.6,1.7,1.3,9.8,23.5,2.9,0.3,3.3,0.073,0.5,-2.1,-1.6,0.2,2013,2009,4,0,0,3101327.0
1218,hendege02,Gerald Henderson,POWER_FORWARD,26,MEMPHIS_GRIZZLIES,77,2461,13.1,0.507,0.124,0.332,1.4,12.9,7.1,13.9,1.1,1.0,9.6,22.1,0.8,2.8,3.6,0.071,-1.7,0.0,-1.7,0.2,2014,2009,5,0,0,6000000.0
1219,hendege02,Gerald Henderson,POWER_FORWARD,27,NEW_JERSEY_NETS,80,2315,13.2,0.514,0.161,0.256,1.7,11.6,6.5,15.6,1.1,0.7,10.5,20.7,1.3,2.3,3.6,0.074,-1.2,-0.4,-1.5,0.3,2015,2009,6,0,0,6000000.0
1220,hendege02,Gerald Henderson,SHOOTING_GUARD,28,OKLAHOMA_CITY_THUNDER,72,1431,12.9,0.526,0.257,0.276,2.3,13.7,8.0,8.2,1.4,1.0,10.3,20.2,1.0,1.0,2.0,0.068,-1.9,-1.4,-3.3,-0.5,2016,2009,7,0,0,6000000.0
1221,hendege02,Gerald Henderson,SHOOTING_GUARD,29,PORTLAND_TRAIL_BLAZERS,72,1667,10.8,0.529,0.313,0.298,2.2,10.0,6.1,10.5,1.2,0.7,9.0,17.9,1.0,1.0,2.0,0.059,-1.8,-1.3,-3.1,-0.5,2017,2009,8,0,0,9000000.0
1222,hibbero01,Roy Hibbert,CENTER,23,BOSTON_CELTICS,81,2035,16.2,0.537,0.008,0.286,9.4,15.5,12.4,13.5,0.7,4.6,14.1,22.2,1.6,2.5,4.1,0.098,-1.4,1.8,0.3,1.2,2010,2009,1,0,0,1575360.0
1223,hibbero01,Roy Hibbert,CENTER,24,CLEVELAND_CAVALIERS,81,2244,15.9,0.507,0.004,0.309,9.1,21.0,15.1,12.8,0.7,4.6,15.5,23.6,0.3,3.3,3.6,0.077,-2.5,2.3,-0.2,1.0,2011,2009,2,0,0,1685280.0
1224,hibbero01,Roy Hibbert,POINT_GUARD,25,DETROIT_PISTONS,65,1937,19.3,0.539,0.001,0.358,12.5,20.7,16.6,9.9,0.9,5.2,14.2,21.1,3.2,3.0,6.2,0.154,0.5,2.4,3.0,2.4,2012,2009,3,Roy Hibbert,1,2588590.0
1225,hibbero01,Roy Hibbert,POINT_GUARD,26,INDIANA_PACERS,79,2269,17.3,0.489,0.005,0.261,14.8,17.4,16.1,8.9,0.9,6.7,14.5,22.5,1.3,4.9,6.1,0.129,-1.9,3.8,1.9,2.2,2013,2009,4,0,0,13686750.0
1226,hibbero01,Roy Hibbert,POWER_FORWARD,27,MEMPHIS_GRIZZLIES,81,2409,13.5,0.499,0.007,0.357,9.9,15.0,12.5,6.2,0.6,5.7,14.5,19.4,0.5,5.0,5.4,0.108,-3.4,3.3,-0.2,1.1,2014,2009,5,Roy Hibbert,1,14283844.0
1227,hibbero01,Roy Hibbert,POWER_FORWARD,28,NEW_JERSEY_NETS,76,1926,15.4,0.501,0.003,0.287,9.0,21.9,15.5,7.4,0.5,5.1,11.8,21.3,1.0,3.2,4.2,0.105,-3.1,2.1,-1.0,0.5,2015,2009,6,0,0,14898938.0
1228,hibbero01,Roy Hibbert,SHOOTING_GUARD,29,OKLAHOMA_CITY_THUNDER,81,1878,11.2,0.507,0.005,0.353,7.3,15.8,11.4,8.0,0.9,4.6,13.8,12.9,1.1,1.0,2.2,0.056,-3.1,1.8,-1.3,0.3,2016,2009,7,0,0,15500000.0
1229,hibbero01,Roy Hibbert,SHOOTING_GUARD,30,PORTLAND_TRAIL_BLAZERS,42,671,13.5,0.613,0.0,0.521,8.6,16.0,12.3,4.5,0.6,5.8,14.9,14.0,1.0,0.8,1.8,0.129,-2.9,1.8,-1.1,0.1,2017,2009,8,0,0,5000000.0
1230,hibbero01,Roy Hibbert,SHOOTING_GUARD,30,PORTLAND_TRAIL_BLAZERS,6,11,16.3,0.667,0.0,0.0,10.1,10.0,10.0,13.5,0.0,14.1,25.0,15.5,0.0,0.0,0.0,0.119,-1.9,5.1,3.2,0.0,2017,2009,8,0,0,5000000.0
1231,hicksjj01,J.J. Hickson,CENTER,21,BOSTON_CELTICS,81,1691,15.2,0.58,0.002,0.312,8.2,19.5,14.1,3.9,1.1,1.8,13.4,18.9,1.8,2.5,4.3,0.123,-2.3,-0.3,-2.6,-0.2,2010,2009,1,0,0,1429200.0
1232,hicksjj01,J.J. Hickson,CENTER,22,CLEVELAND_CAVALIERS,80,2256,15.6,0.503,0.005,0.392,10.8,25.0,17.7,7.5,1.1,1.8,13.6,25.5,-0.2,1.7,1.5,0.032,-3.2,-1.1,-4.3,-1.3,2011,2009,2,0,0,1528920.0
1233,hicksjj01,J.J. Hickson,POINT_GUARD,23,DETROIT_PISTONS,35,644,9.9,0.416,0.006,0.335,10.9,19.7,15.1,5.0,1.4,1.9,16.4,16.0,-0.5,0.3,-0.1,-0.009,-4.8,-0.5,-5.3,-0.5,2012,2009,3,0,0,2354537.0
1234,hicksjj01,J.J. Hickson,POINT_GUARD,23,DETROIT_PISTONS,19,600,20.2,0.568,0.005,0.347,12.6,18.3,15.4,6.9,1.1,2.3,10.9,21.6,1.4,0.5,1.8,0.147,1.0,-0.4,0.6,0.4,2012,2009,3,0,0,2354537.0
1235,hicksjj01,J.J. Hickson,POINT_GUARD,24,INDIANA_PACERS,80,2323,19.7,0.591,0.003,0.36,13.2,28.5,20.7,6.6,1.1,1.7,14.4,19.9,4.6,2.3,6.9,0.142,-0.2,0.0,-0.3,1.0,2013,2009,4,0,0,4000000.0
1236,hicksjj01,J.J. Hickson,POWER_FORWARD,25,MEMPHIS_GRIZZLIES,69,1859,16.2,0.521,0.012,0.443,11.9,24.8,18.3,8.4,1.2,2.0,14.1,20.8,1.3,2.1,3.3,0.086,-1.7,0.8,-0.8,0.6,2014,2009,5,0,0,5150000.0
1237,hicksjj01,J.J. Hickson,POWER_FORWARD,26,NEW_JERSEY_NETS,73,1411,14.3,0.504,0.004,0.438,11.1,24.0,17.3,6.5,1.3,1.9,14.9,19.7,0.5,1.4,1.8,0.062,-3.1,0.4,-2.7,-0.3,2015,2009,6,0,0,5381750.0
1238,hicksjj01,J.J. Hickson,SHOOTING_GUARD,27,OKLAHOMA_CITY_THUNDER,20,305,15.8,0.508,0.0,0.541,7.9,24.0,15.8,8.7,1.6,3.2,10.6,21.6,0.1,0.4,0.5,0.077,-3.2,0.2,-3.0,-0.1,2016,2009,7,0,0,5613500.0
1239,hicksjj01,J.J. Hickson,SHOOTING_GUARD,27,OKLAHOMA_CITY_THUNDER,20,305,15.8,0.508,0.0,0.541,7.9,24.0,15.8,8.7,1.6,3.2,10.6,21.6,0.1,0.4,0.5,0.077,-3.2,0.2,-3.0,-0.1,2016,2009,7,0,0,366337.0
1240,hicksjj01,J.J. Hickson,SHOOTING_GUARD,27,OKLAHOMA_CITY_THUNDER,15,131,18.9,0.528,0.022,0.957,14.2,24.4,19.2,8.5,1.9,1.2,12.1,24.8,0.1,0.2,0.3,0.114,-2.1,-0.9,-3.0,0.0,2016,2009,7,0,0,5613500.0
1241,hicksjj01,J.J. Hickson,SHOOTING_GUARD,27,OKLAHOMA_CITY_THUNDER,15,131,18.9,0.528,0.022,0.957,14.2,24.4,19.2,8.5,1.9,1.2,12.1,24.8,0.1,0.2,0.3,0.114,-2.1,-0.9,-3.0,0.0,2016,2009,7,0,0,366337.0
1242,hilarne01,Nenê Hilário,CENTER,27,BOSTON_CELTICS,82,2755,18.9,0.631,0.003,0.58,7.0,19.1,13.1,11.6,2.1,2.2,12.2,16.5,7.1,3.7,10.8,0.188,2.1,2.5,4.7,4.6,2010,2009,1,0,0,10520000.0
1243,hilarne01,Nenê Hilário,CENTER,28,CLEVELAND_CAVALIERS,75,2291,20.4,0.657,0.008,0.615,7.5,20.8,14.4,10.4,1.8,2.4,13.9,18.8,6.4,3.1,9.6,0.201,2.3,2.3,4.6,3.8,2011,2009,2,0,0,11360000.0
1244,hilarne01,Nenê Hilário,POINT_GUARD,29,DETROIT_PISTONS,28,826,16.7,0.554,0.007,0.473,6.3,22.6,14.7,11.7,2.2,2.4,18.5,22.5,0.5,1.1,1.6,0.092,-1.4,2.1,0.7,0.6,2012,2009,3,0,0,13000000.0
1245,hilarne01,Nenê Hilário,POINT_GUARD,29,DETROIT_PISTONS,11,284,24.2,0.624,0.018,0.313,7.9,25.3,16.5,12.8,1.1,3.5,13.0,23.1,0.8,0.3,1.1,0.191,1.8,0.6,2.4,0.3,2012,2009,3,0,0,13000000.0
1246,hilarne01,Nenê Hilário,POINT_GUARD,30,INDIANA_PACERS,61,1659,17.0,0.538,0.002,0.453,6.7,20.6,13.6,19.0,1.7,1.8,16.3,23.4,1.3,2.7,4.0,0.116,-1.1,2.3,1.3,1.4,2013,2009,4,0,0,13000000.0
1247,hilarne01,Nenê Hilário,POWER_FORWARD,31,MEMPHIS_GRIZZLIES,53,1560,16.6,0.53,0.008,0.448,4.7,17.3,10.9,16.3,2.1,2.5,14.1,24.0,0.8,2.4,3.2,0.098,-1.6,1.8,0.2,0.9,2014,2009,5,0,0,13000000.0
1248,hilarne01,Nenê Hilário,POWER_FORWARD,32,NEW_JERSEY_NETS,67,1693,14.3,0.534,0.008,0.336,5.7,17.0,11.5,12.0,2.0,1.0,15.2,21.8,0.5,2.5,3.0,0.086,-1.9,1.3,-0.6,0.6,2015,2009,6,0,0,13000000.0
1249,hilarne01,Nenê Hilário,SHOOTING_GUARD,33,OKLAHOMA_CITY_THUNDER,57,1094,16.8,0.564,0.008,0.482,5.2,21.6,13.2,14.1,2.4,1.9,14.0,21.6,1.1,1.6,2.7,0.12,-1.6,1.8,0.2,0.6,2016,2009,7,0,0,13000000.0
1250,hilarne01,Nenê Hilário,SMALL_FORWARD,34,PORTLAND_TRAIL_BLAZERS,67,1198,18.9,0.63,0.023,0.496,8.6,17.0,12.8,8.6,2.2,2.6,13.1,19.7,2.5,1.6,4.1,0.165,-0.4,0.8,0.5,0.7,2017,2009,8,0,0,2898000.0
1251,hilarne01,Nenê Hilário,SMALL_FORWARD,35,TORONTO_RAPTORS,52,758,16.4,0.594,0.008,0.448,8.1,18.0,13.1,9.5,1.8,1.6,11.7,18.9,1.5,1.1,2.6,0.163,-1.5,0.7,-0.8,0.2,2018,2009,9,0,0,3477600.0
1252,hillge01,George Hill,CENTER,23,BOSTON_CELTICS,78,2276,14.7,0.572,0.255,0.321,2.2,8.2,5.3,15.5,1.6,0.8,10.7,19.0,4.1,2.6,6.7,0.142,1.3,0.2,1.5,2.0,2010,2009,1,0,0,1081680.0
1253,hillge01,George Hill,CENTER,24,CLEVELAND_CAVALIERS,76,2148,14.6,0.588,0.322,0.427,1.3,9.2,5.4,13.6,1.6,0.7,11.6,18.2,4.0,2.1,6.1,0.136,1.1,-0.1,1.1,1.7,2011,2009,2,0,0,1157160.0
1254,hillge01,George Hill,POINT_GUARD,25,DETROIT_PISTONS,50,1274,15.7,0.557,0.387,0.308,2.8,10.5,6.7,18.8,1.7,1.1,10.8,17.2,2.8,1.3,4.0,0.152,2.6,-0.3,2.3,1.4,2012,2009,3,0,0,2086360.0
