,combos,R2,R2_adj,RMSE
19542,"['team', 'games_played', 'minutes_played', 'usage_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21772,"['team', 'minutes_played', 'defensive_rebound_percentage', 'win_shares_per_48_minutes', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21781,"['team', 'minutes_played', 'defensive_rebound_percentage', 'defensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21778,"['team', 'minutes_played', 'defensive_rebound_percentage', 'offensive_box_plus_minus', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
3511,"['team', 'minutes_played', 'defensive_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21777,"['team', 'minutes_played', 'defensive_rebound_percentage', 'offensive_box_plus_minus', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21732,"['team', 'minutes_played', 'defensive_rebound_percentage', 'turnover_percentage', 'usage_percentage', 'exp', 'exp^2']",0.458,0.454,1.046
21447,"['team', 'minutes_played', 'free_throw_attempt_rate', 'defensive_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.458,0.454,1.046
17945,"['age', 'team', 'minutes_played', 'total_rebound_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.458,0.454,1.046
21451,"['team', 'minutes_played', 'free_throw_attempt_rate', 'defensive_rebound_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.458,0.453,1.046
21643,"['team', 'minutes_played', 'offensive_rebound_percentage', 'usage_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.458,0.454,1.046
21642,"['team', 'minutes_played', 'offensive_rebound_percentage', 'usage_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.458,0.454,1.046
21311,"['team', 'minutes_played', 'three_point_attempt_rate', 'defensive_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.458,0.454,1.046
17936,"['age', 'team', 'minutes_played', 'defensive_rebound_percentage', 'allstar', 'exp', 'exp^2']",0.458,0.454,1.046
21722,"['team', 'minutes_played', 'defensive_rebound_percentage', 'block_percentage', 'usage_percentage', 'exp', 'exp^2']",0.458,0.454,1.046
21809,"['team', 'minutes_played', 'total_rebound_percentage', 'steal_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.458,0.454,1.046
20991,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.458,0.454,1.046
20915,"['team', 'minutes_played', 'player_efficiency_rating', 'true_shooting_percentage', 'defensive_rebound_percentage', 'exp', 'exp^2']",0.458,0.454,1.046
21776,"['team', 'minutes_played', 'defensive_rebound_percentage', 'win_shares_per_48_minutes', 'allstar', 'exp', 'exp^2']",0.458,0.454,1.046
3415,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'exp', 'exp^2']",0.458,0.454,1.046
20933,"['team', 'minutes_played', 'player_efficiency_rating', 'three_point_attempt_rate', 'defensive_rebound_percentage', 'exp', 'exp^2']",0.458,0.454,1.046
21774,"['team', 'minutes_played', 'defensive_rebound_percentage', 'win_shares_per_48_minutes', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.454,1.046
19481,"['team', 'games_played', 'minutes_played', 'total_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.458,0.454,1.046
7210,"['positions', 'team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'exp', 'exp^2']",0.458,0.454,1.046
20993,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.458,0.454,1.046
20966,"['team', 'minutes_played', 'player_efficiency_rating', 'offensive_rebound_percentage', 'defensive_rebound_percentage', 'exp', 'exp^2']",0.458,0.454,1.046
